date,opponent,venue,side,poss,poss_end,half,clock,mp_score,opp_score,lead,garbage,lineup,event,shot_type,result,assisted,pip,scp,pot,foul_type,bonus,ftm,fta,to_type,pts,notes
2025-11-14,West LA,Neutral,def,1,made_fg,1,20:00,0,0,0,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,shot,2pa,made,,1,,,,,,,,2,
2025-11-14,West LA,Neutral,def,2,turnover,1,20:00,0,0,0,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,turnover,,,,,,,,,,,deadball,0,
2025-11-14,West LA,Neutral,def,3,dreb,1,20:00,0,0,0,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,shot,2pa,missed,,,,,,,,,,0,
2025-11-14,West LA,Neutral,def,3,dreb,1,20:00,0,0,0,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,oreb,,,,,,,,,,,,0,
2025-11-14,West LA,Neutral,def,3,dreb,1,20:00,0,0,0,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,shot,2pa,missed,,,,,,,,,,0,
2025-11-14,West LA,Neutral,def,3,dreb,1,20:00,0,0,0,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,dreb,,,,,,,,,,,,0,
2025-11-14,West LA,Neutral,def,4,made_fg,1,20:00,0,0,0,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,shot,3pa,made,1,,,,,,,,,3,
2025-11-14,West LA,Neutral,def,5,dreb,1,20:00,0,0,0,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,shot,3pa,missed,,,,,,,,,,0,
2025-11-14,West LA,Neutral,def,5,dreb,1,20:00,0,0,0,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,dreb,,,,,,,,,,,,0,
2025-11-14,West LA,Neutral,def,6,made_fg,1,20:00,0,0,0,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,shot,3pa,made,,,,,,,,,,3,
2025-11-14,West LA,Neutral,def,7,made_fg,1,20:00,0,0,0,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,shot,2pa,made,,1,,,,,,,,2,
2025-11-14,West LA,Neutral,def,8,dreb,1,20:00,0,0,0,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,shot,2pa,missed,,,,,,,,,,0,
2025-11-14,West LA,Neutral,def,8,dreb,1,20:00,0,0,0,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,dreb,,,,,,,,,,,,0,
2025-11-14,West LA,Neutral,def,9,made_fg,1,20:00,0,0,0,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,shot,3pa,made,1,,,1,,,,,,3,
2025-11-14,West LA,Neutral,def,10,made_fg,1,20:00,0,0,0,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,shot,2pa,made,,1,,,,,,,,2,
2025-11-14,West LA,Neutral,def,10,made_fg,1,20:00,0,0,0,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #20 Jake Field / #22 Roman Finney,foul,,,,,,,shooting,,,1,,0,
2025-11-14,West LA,Neutral,def,10,made_fg,1,20:00,0,0,0,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #24 Aeneas Grullon / #31 Noah Cotton,oreb,,,,,,,,,,,,0,
2025-11-14,West LA,Neutral,def,10,made_fg,1,20:00,0,0,0,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #24 Aeneas Grullon / #31 Noah Cotton,shot,2pa,missed,,,,,,,,,,0,
2025-11-14,West LA,Neutral,def,10,made_fg,1,20:00,0,0,0,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #24 Aeneas Grullon / #31 Noah Cotton,oreb,,,,,,,,,,,,0,
2025-11-14,West LA,Neutral,def,10,made_fg,1,20:00,0,0,0,,#1 Josh Castaniero / #3 Eric Kubel / #4 Markus Steele / #24 Aeneas Grullon / #31 Noah Cotton,shot,2pa,made,1,1,,,,,,,,2,
